year,team_id,games,attendance
2014,LAA,81,3095935
2014,ARI,79,1997385
2014,ARI,2,76345
2014,ATL,81,2354305
2014,BAL,81,2464473
2014,BOS,81,2956089
2014,CHN,81,1650821
2014,CHA,81,2652113
2014,CIN,81,2476664
2014,CLE,81,1437393
2014,COL,81,2680329
2014,DET,81,2917209
2014,HOU,81,1751829
2014,KCA,81,1956482
2014,LAN,81,3782337
2014,MIA,81,1732283
2014,MIL,81,2797384
2014,MIN,81,2250606
2014,NYA,81,3401624
2014,NYN,81,2148808
2014,OAK,81,2003628
2014,PHI,81,2423852
2014,PIT,81,2442564
2014,SDN,81,2195373
2014,SEA,81,2064334
2014,SFN,81,3368697
2014,SLN,81,3540649
2014,TBA,81,1446464
2014,TEX,81,2718733
2014,TOR,81,2375525
2014,WAS,81,2579389
2013,LAA,81,3019505
2013,ARI,81,2134895
2013,ATL,81,2548679
2013,BAL,81,2357561
2013,BOS,81,2833333
2013,CHN,81,1768413
2013,CHA,81,2642682
2013,CIN,80,2492101
2013,CIN,1,42310
2013,CLE,81,1572926
2013,COL,81,2793828
2013,DET,81,3083397
2013,HOU,81,1651883
2013,KCA,81,1750754
2013,LAN,81,3743527
2013,MIA,81,1586322
2013,MIL,81,2531105
2013,MIN,81,2477644
2013,NYA,81,3279589
2013,NYN,81,2135657
2013,OAK,81,1809302
2013,PHI,81,3012403
2013,PIT,81,2256862
2013,SDN,81,2166691
2013,SEA,81,1761546
2013,SFN,81,3326796
2013,SLN,81,3369769
2013,TBA,81,1510300
2013,TEX,82,3178273
2013,TOR,81,2536562
2013,WAS,81,2652422
2012,LAA,81,3061770
2012,ARI,81,2177617
2012,ATL,81,2420171
2012,BAL,81,2102240
2012,BOS,81,3043003
2012,CHA,81,1965955
2012,CHN,81,2882756
2012,CIN,81,2347251
2012,CLE,81,1603596
2012,COL,81,2630458
2012,DET,81,3028033
2012,HOU,81,1607733
2012,KCA,81,1739859
2012,LAN,81,3324246
2012,MIA,81,2219444
2012,MIL,81,2831385
2012,MIN,81,2776354
2012,NYA,81,3542406
2012,NYN,81,2242803
2012,OAK,79,1591395
2012,OAK,2,87618
2012,PHI,81,3565718
2012,PIT,81,2091918
2012,SDN,81,2123721
2012,SEA,81,1721920
2012,SFN,81,3377371
2012,SLN,81,3262109
2012,TBA,81,1559681
2012,TEX,81,3460280
2012,TOR,81,2099663
2012,WAS,81,2370794
2011,LAA,81,3166321
2011,ARI,81,2105432
2011,ATL,81,2372940
2011,BAL,81,1755461
2011,BOS,81,3054001
2011,CHA,81,2001117
2011,CHN,81,3017966
2011,CIN,81,2213588
2011,CLE,81,1840835
2011,COL,81,2909777
2011,DET,81,2642045
2011,FLO,78,1477462
2011,FLO,3,43100
2011,HOU,81,2067016
2011,KCA,81,1724450
2011,LAN,81,2935139
2011,MIL,81,3071373
2011,MIN,81,3168116
2011,NYA,81,3653680
2011,NYN,81,2352596
2011,OAK,81,1476791
2011,PHI,81,3680718
2011,PIT,81,1940429
2011,SDN,81,2143018
2011,SEA,81,1896321
2011,SFN,81,3387303
2011,SLN,81,3093954
2011,TBA,81,1529188
2011,TEX,81,2946949
2011,TOR,81,1818103
2011,WAS,80,1940478
2010,LAA,81,3250754
2010,ARI,81,2057224
2010,ATL,81,2510121
2010,BAL,81,1733019
2010,BOS,81,3046445
2010,CHA,81,2194378
2010,CHN,81,3062973
2010,CIN,81,2060550
2010,CLE,81,1391644
2010,COL,81,2875245
2010,DET,81,2461237
2010,FLO,78,1469216
2010,FLO,3,55678
2010,HOU,81,2331490
2010,KCA,81,1615326
2010,LAN,81,3562318
2010,MIL,81,2776531
2010,MIN,81,3223640
2010,NYA,81,3765807
2010,NYN,81,2573077
2010,OAK,81,1418391
2010,PHI,81,3647249
2010,PIT,81,1613399
2010,SDN,81,2131774
2010,SEA,81,2085168
2010,SFN,81,3037267
2010,SLN,81,3301218
2010,TBA,81,1865002
2010,TEX,81,2505171
2010,TOR,3,130073
2010,TOR,78,1495482
2010,WAS,81,1828065
