player_id,name_first,name_last,name_full,dummy
aardsda01,David,Aardsma,David Aardsma,1
aaronha01,Hank,Aaron,Hank Aaron,1
aaronto01,Tommie,Aaron,Tommie Aaron,1
aasedo01,Don,Aase,Don Aase,1
abadan01,Andy,Abad,Andy Abad,1
abadfe01,Fernando,Abad,Fernando Abad,1
abadijo01,John,Abadie,John Abadie,1
abbated01,Ed,Abbaticchio,Ed Abbaticchio,1
abbeybe01,Bert,Abbey,Bert Abbey,1
abbeych01,Charlie,Abbey,Charlie Abbey,1
abbotda01,Dan,Abbott,Dan Abbott,1
abbotfr01,Fred,Abbott,Fred Abbott,1
abbotgl01,Glenn,Abbott,Glenn Abbott,1
abbotje01,Jeff,Abbott,Jeff Abbott,1
abbotji01,Jim,Abbott,Jim Abbott,1
abbotku01,Kurt,Abbott,Kurt Abbott,1
abbotky01,Kyle,Abbott,Kyle Abbott,1
abbotod01,Ody,Abbott,Ody Abbott,1
abbotpa01,Paul,Abbott,Paul Abbott,1
aberal01,Al,Aber,Al Aber,1
abercda01,Frank,Abercrombie,Frank Abercrombie,1
abercre01,Reggie,Abercrombie,Reggie Abercrombie,1
abernbi01,Bill,Abernathie,Bill Abernathie,1
abernbr01,Brent,Abernathy,Brent Abernathy,1
abernte01,Ted,Abernathy,Ted Abernathy,1
abernte02,Ted,Abernathy,Ted Abernathy,1
abernwo01,Woody,Abernathy,Woody Abernathy,1
aberscl01,Cliff,Aberson,Cliff Aberson,1
ablesha01,Harry,Ables,Harry Ables,1
abnersh01,Shawn,Abner,Shawn Abner,1
abramca01,Cal,Abrams,Cal Abrams,1
abramge01,George,Abrams,George Abrams,1
abregjo01,Johnny,Abrego,Johnny Abrego,1
abreubo01,Bobby,Abreu,Bobby Abreu,1
abreujo01,Joe,Abreu,Joe Abreu,1
abreujo02,Jose,Abreu,Jose Abreu,1
abreuju01,Juan,Abreu,Juan Abreu,1
abreuto01,Tony,Abreu,Tony Abreu,1
abreuwi01,Winston,Abreu,Winston Abreu,1
abstebi01,Bill,Abstein,Bill Abstein,1
accarje01,Jeremy,Accardo,Jeremy Accardo,1
aceveal01,Alfredo,Aceves,Alfredo Aceves,1
acevejo01,Jose,Acevedo,Jose Acevedo,1
aceveju01,Juan,Acevedo,Juan Acevedo,1
achteaj01,A. J.,Achter,A. J. Achter,1
ackerji01,Jim,Acker,Jim Acker,1
ackerto01,Tom,Acker,Tom Acker,1
ackledu01,Dustin,Ackley,Dustin Ackley,1
acklefr01,Fritz,Ackley,Fritz Ackley,1
acostcy01,Cy,Acosta,Cy Acosta,1
acosted01,Ed,Acosta,Ed Acosta,1
acostjo01,Jose,Acosta,Jose Acosta,1
acostma01,Manny,Acosta,Manny Acosta,1
acostme01,Merito,Acosta,Merito Acosta,1
