year,team_id,name,park
2014,ARI,Arizona Diamondbacks,Chase Field
2013,ARI,Arizona Diamondbacks,Chase Field
2012,ARI,Arizona Diamondbacks,Chase Field
2011,ARI,Arizona Diamondbacks,Chase Field
2010,ARI,Arizona Diamondbacks,Chase Field
2014,ATL,Atlanta Braves,Turner Field
2013,ATL,Atlanta Braves,Turner Field
2012,ATL,Atlanta Braves,Turner Field
2011,ATL,Atlanta Braves,Turner Field
2010,ATL,Atlanta Braves,Turner Field
2014,BAL,Baltimore Orioles,Oriole Park at Camden Yards
2013,BAL,Baltimore Orioles,Oriole Park at Camden Yards
2012,BAL,Baltimore Orioles,Oriole Park at Camden Yards
2011,BAL,Baltimore Orioles,Oriole Park at Camden Yards
2010,BAL,Baltimore Orioles,Oriole Park at Camden Yards
2014,BOS,Boston Red Sox,Fenway Park II
2013,BOS,Boston Red Sox,Fenway Park II
2012,BOS,Boston Red Sox,Fenway Park II
2011,BOS,Boston Red Sox,Fenway Park II
2010,BOS,Boston Red Sox,Fenway Park II
2014,CHN,Chicago Cubs,Wrigley Field
2013,CHN,Chicago Cubs,Wrigley Field
2012,CHN,Chicago Cubs,Wrigley Field
2011,CHN,Chicago Cubs,Wrigley Field
2010,CHN,Chicago Cubs,Wrigley Field
2014,CHA,Chicago White Sox,U.S. Cellular Field
2013,CHA,Chicago White Sox,U.S. Cellular Field
2012,CHA,Chicago White Sox,U.S. Cellular Field
2011,CHA,Chicago White Sox,U.S. Cellular Field
2010,CHA,Chicago White Sox,U.S. Cellular Field
2014,CIN,Cincinnati Reds,Great American Ball Park
2013,CIN,Cincinnati Reds,Great American Ball Park
2012,CIN,Cincinnati Reds,Great American Ball Park
2011,CIN,Cincinnati Reds,Great American Ball Park
2010,CIN,Cincinnati Reds,Great American Ball Park
2014,CLE,Cleveland Indians,Progressive Field
2013,CLE,Cleveland Indians,Progressive Field
2012,CLE,Cleveland Indians,Progressive Field
2011,CLE,Cleveland Indians,Progressive Field
2010,CLE,Cleveland Indians,Progressive Field
2014,COL,Colorado Rockies,Coors Field
2013,COL,Colorado Rockies,Coors Field
2012,COL,Colorado Rockies,Coors Field
2011,COL,Colorado Rockies,Coors Field
2010,COL,Colorado Rockies,Coors Field
2014,DET,Detroit Tigers,Comerica Park
2013,DET,Detroit Tigers,Comerica Park
2012,DET,Detroit Tigers,Comerica Park
2011,DET,Detroit Tigers,Comerica Park
2010,DET,Detroit Tigers,Comerica Park
2014,HOU,Houston Astros,Minute Maid Park
2013,HOU,Houston Astros,Minute Maid Park
2012,HOU,Houston Astros,Minute Maid Park
2011,HOU,Houston Astros,Minute Maid Park
2010,HOU,Houston Astros,Minute Maid Park
2014,KCA,Kansas City Royals,Kauffman Stadium
2013,KCA,Kansas City Royals,Kauffman Stadium
2012,KCA,Kansas City Royals,Kauffman Stadium
2011,KCA,Kansas City Royals,Kauffman Stadium
2010,KCA,Kansas City Royals,Kauffman Stadium
